season,team,incident,type,min
20/21,Tottenham Hotspur,Penalty awarded (scored by Callum Wilson) for handball by Eric Dier,AGAINST,90
20/21,Tottenham Hotspur,Penalty awarded (scored by Harry Kane) after foul on Kane by Adam Lallana adjudged to be inside the area,FOR,11
20/21,Tottenham Hotspur,Goal for Tariq Lamptey stands after Graham Scott rejects VAR review for foul in the build-up by Solly March on Pierre-Emile Hojbjerg,AGAINST,56
20/21,Tottenham Hotspur,Aymeric Laporte goal disallowed for handball by Gabriel Jesus,FOR,27
20/21,Tottenham Hotspur,Penalty awarded (scored by Jamie Vardy) after foul on Wesley Fofana by Serge Aurier,AGAINST,45
20/21,Tottenham Hotspur,James Maddison goal ruled out for offside,FOR,47
20/21,Tottenham Hotspur,Son Heung-Min goal disallowed for offside in the build-up,AGAINST,3
20/21,Tottenham Hotspur,Mohamed Salah goal ruled out for handball in the build-up by Roberto Firmino,FOR,56
20/21,Tottenham Hotspur,Goal for Jesse Lingard allowed after incorrect offside,AGAINST,47
20/21,Tottenham Hotspur,Josh Maja goal disallowed for handball in the build-up by Mario Lemina,FOR,64
20/21,Tottenham Hotspur,Edinson Cavani goal ruled out for foul on Son Heung-Min by Scott McTominay,FOR,33
20/21,Tottenham Hotspur,Son Heung-Min goal disallowed for offside against Lucas Moura in the goalkeeper's line of vision,AGAINST,74
20/21,Tottenham Hotspur,Penalty awarded (scored by Son Heung-Min) after foul by Moussa Djenepo on Sergio Reguilon adjudged to be inside the area,FOR,86
20/21,Tottenham Hotspur,Son Heung-Min goal disallowed for offside,AGAINST,50
20/21,Tottenham Hotspur,Penalty awarded (scored by Jamie Vardy) for foul on Vardy by Toby Alderweireld,AGAINST,16
20/21,Wolves,Goal for Romain Saiss disallowed for offside in the build-up by Daniel Podence,AGAINST,54
20/21,Wolves,Penalty for Crystal Palace cancelled for offside against Patrick van Aanholt,FOR,38
20/21,Wolves,Luka Milivojevic sent off for a challenge on Joao Moutinho,FOR,85
20/21,Wolves,Penalty awarded (scored by Jamie Vardy) for handball by Max Kilman,AGAINST,14
20/21,Wolves,"Penalty cancelled, Sadio Mane adjudged not to have fouled Conor Coady",AGAINST,44
20/21,Wolves,Penalty cancelled for challenge on Pedro Neto by Reece James,AGAINST,81
20/21,Wolves,Bukayo Saka goal disallowed for offside in the build-up against Alexandre Lacazette,FOR,9
20/21,Wolves,Gabriel Jesus goal allowed after incorrect offside,AGAINST,90
20/21,Wolves,Willian Jose goal disallowed for offside in the build-up against Daniel Podence,AGAINST,45
20/21,Wolves,Matej Vydra goal disallowed for offside,FOR,50
20/21,Wolves,Penalty awarded (missed by Juan Mata but scored on the rebound) for foul on Donny van de Beek by Romain Saiss,AGAINST,45
20/21,Arsenal,John McGinn goal disallowed for offside against Ross Barkley,FOR,1
20/21,Arsenal,Nicolas Pepe sent off for headbutt on Ezgjan Alioski,AGAINST,51
20/21,Arsenal,Granit Xhaka sent off for violent conduct on Ashley Westwood,AGAINST,58
20/21,Arsenal,Tammy Abraham goal awarded after incorrect offside,AGAINST,85
20/21,Arsenal,Bukayo Saka goal disallowed for offside in the build-up against Alexandre Lacazette,AGAINST,9
20/21,Arsenal,Penalty cancelled after Liam Cooper adjudged not to have fouled Bukayo Saka,AGAINST,35
20/21,Arsenal,Penalty cancelled as foul on Nicolas Pepe by Wilfred Ndidi deemed outside the area,AGAINST,14
20/21,Arsenal,Penalty awarded (scored by Alexandre Lacazette) for handball against Wilfred Ndidi,FOR,45
20/21,Arsenal,Penalty and red card for handball against Erik Pieters cancelled,AGAINST,85
20/21,Arsenal,Dani Ceballos goal disallowed for offside in the build-up against Bukayo Saka,AGAINST,40
20/21,Arsenal,Arsenal penalty rescinded for offside in the build-up against Nicolas Pepe,AGAINST,51
20/21,Arsenal,Christian Pulisic goal disallowed for offside,FOR,60
20/21,Liverpool,Andreas Christensen sent off for denying a goal-scoring opportunity when bringing down Sadio Mane,FOR,45
20/21,Liverpool,Jordan Henderson goal ruled out for offside against Sadio Mane,AGAINST,90
20/21,Liverpool,Penalty awarded (scored by Sander Berge) for foul on Oliver McBurnie by Fabinho. Factual decision on where foul took place,AGAINST,10
20/21,Liverpool,Mohamed Salah goal disallowed for offside,AGAINST,62
20/21,Liverpool,Diojo Jota goal disallowed for a foul by Sadio Mane,AGAINST,82
20/21,Liverpool,Penalty awarded (missed by Kevin De Bruyne) for handball against Joe Gomez,AGAINST,41
20/21,Liverpool,Mohamed Salah goal disallowed for offside,AGAINST,35
20/21,Liverpool,Offside against Sadio Mane after scoring,AGAINST,85
20/21,Liverpool,Penalty awarded (scored by Pascal Gross) for a foul on Danny Welbeck by Andrew Robertson,AGAINST,92
20/21,Liverpool,"Penalty cancelled, Sadio Mane adjudged not to have fouled Conor Coady",FOR,44
20/21,Liverpool,Penalty review rejected by referee Andre Marriner following Fabinho challenge on Ivan Cavaleiro,FOR,16
20/21,Liverpool,Son Heung-Min goal disallowed for offside in the build-up,FOR,3
20/21,Liverpool,Mohamed Salah goal ruled out for handball in the build-up by Roberto Firmino,AGAINST,56
20/21,Liverpool,Penalty cancelled after Thiago's foul on Harvey Barnes adjudged to be outside the area,FOR,76
20/21,Liverpool,James Maddison goal allowed after incorrect offside against Daniel Amartey,AGAINST,79
20/21,Liverpool,Penalty overturn review rejected after Trent Alexander-Arnold had brought down Dominic Calvert-Lewin,AGAINST,81
20/21,Liverpool,Timo Werner goal disallowed for offside,FOR,24
20/21,Liverpool,Roberto Firmino goal ruled out for offside against Diogo Jota in the build-up,AGAINST,45
20/21,Liverpool,Callum Wilson goal disallowed for handball,FOR,92
20/21,Liverpool,Penalty cancelled for challenge on Nathaniel Phillips by Eric Bailly,AGAINST,27
20/21,West Brom,Dominic Calvert-Lewin goal awarded after originally ruled out for offside,AGAINST,31
20/21,West Brom,WBA penalty cancelled after Bruno Fernandes adjudged not to have fouled Conor Gallagher,AGAINST,47
20/21,West Brom,Penalty retake (scored by Bruno Fernandes) after encroachment by Sam Johnstone,AGAINST,56
20/21,West Brom,Matheus Pereira sent off for challenge on Patrick van Aanholt,AGAINST,35
20/21,West Brom,Jake Livermore sent off for high tackle on Jack Grealish,AGAINST,36
20/21,West Brom,Ollie Watkins goal ruled out for offside,FOR,72
20/21,West Brom,Ilkay Gundogan goal awarded after incorrect offside against Bernardo Silva,AGAINST,20
20/21,West Brom,Penalty cancelled after Semi Ajayi adjudged not to have fouled Harry Maguire,FOR,64
20/21,West Brom,Semi Ajayi sent off for handball and denying an obvious goal-scoring opportunity,AGAINST,28
